taskNumber,measure,W,p-value,d
T01,accuracy,11241,0.5903,"d=-0.06~[-0.3,0.16]"
T02,accuracy,6802.5,2.39E-14,"d=-0.92~[-1.16,-0.65]"
T03,accuracy,13258,0.009292,"d=0.31~[0.09,0.55]"
T04,accuracy,12244,0.01174,"d=0.35~[0.2,0.49]"
T05,accuracy,12817,0.0007593,"d=0.39~[0.17,0.59]"
T06,accuracy,11012,0.2464,"d=-0.13~[-0.36,0.1]"
T07,accuracy,10206,0.02177,"d=-0.22~[-0.43,0.02]"
T08,accuracy,9952,0.03108,"d=-0.19~[-0.42,0.04]"
T09,accuracy,10438,0.05002,"d=-0.24~[-0.47,-0.02]"
T10,accuracy,13318,0.0007957,"d=0.32~[0.07,0.53]"
T11,accuracy,12063,0.1061,"d=0.19~[-0.05,0.41]"
T12,accuracy,8089,1.28E-09,"d=-0.53~[-0.69,-0.35]"
T13,accuracy,15630,1.36E-12,"d=0.88~[0.63,1.14]"
T14,accuracy,13308,0.0005172,"d=0.4~[0.17,0.63]"
T15,accuracy,15484,4.34E-10,"d=0.77~[0.52,1.05]"
T16,accuracy,11400,NA,NA
T01,time,16678,3.45E-12,"d=0.63~[0.38,0.87]"
T02,time,20312,2.20E-16,"d=1.46~[1.26,1.66]"
T03,time,10076,0.08098,"d=-0.21~[-0.42,0.03]"
T04,time,4084,2.20E-16,"d=-0.92~[-1.09,-0.71]"
T05,time,5758.5,1.04E-13,"d=-0.76~[-0.94,-0.53]"
T06,time,7621,6.32E-07,"d=-0.26~[-0.5,-0.02]"
T07,time,9518,1.31E-02,"d=-0.23~[-0.45,0.07]"
T08,time,9460.5,0.0106,"d=-0.4~[-0.59,-0.19]"
T09,time,10018,0.0685,"d=-0.17~[-0.37,0.06]"
T10,time,2537,2.20E-16,"d=-1.32~[-1.6,-1.02]"
T11,time,5068,2.20E-16,"d=-0.76~[-0.97,-0.49]"
T12,time,11246,0.8397,"d=0.01~[-0.22,0.23]"
T13,time,5419,3.21E-15,"d=-0.92~[-1.07,-0.75]"
T14,time,5848,2.53E-13,"d=-0.75~[-0.94,-0.54]"
T15,time,4161.5,2.20E-16,"d=-0.92~[-1.17,-0.66]"
T16,time,11428,0.9706,NA